,date,id
164,4/12/2020,1249125586469113857
165,4/11/2020,1248762942314745856
166,4/9/2020,1248037914438701057
167,4/8/2020,1247675781758758912
168,4/7/2020,1247313139428884481
169,4/6/2020,1246950753169784834
170,4/5/2020,1246588363978743810
171,4/4/2020,1246225978390646785
172,4/2/2020,1245501457639628802
173,4/1/2020,1245139063197310976
174,3/31/2020,1244776425997119495
175,3/30/2020,1244414034490916864
176,3/29/2020,1244051646759477248
177,3/28/2020,1243689511172915201
178,3/26/2020,1242964994972622848
179,3/25/2020,1242602607186792449
180,3/24/2020,1242239966756966400
181,3/23/2020,1241877576928432131
182,3/22/2020,1241514936829968391
183,3/21/2020,1241152546409938946
184,3/20/2020,1240790158536040448
185,3/19/2020,1240428026745237504
186,3/18/2020,1240065387385049089
187,3/17/2020,1239703753399435265
188,3/16/2020,1239341369178587136
189,3/15/2020,1238978979207483393
190,3/14/2020,1238616338442174466
191,3/13/2020,1238253457183817728
192,3/12/2020,1237891342253998083
193,3/11/2020,1237543560691339264
194,3/9/2020,1236818813934538754
195,3/8/2020,1236441848975183873
196,3/7/2020,1236094066644959232
197,3/6/2020,1235716752719458305
198,3/3/2020,1234644480235646977
199,3/3/2020,1234631155401531392
200,3/2/2020,1234268275443478535
201,3/1/2020,1233905396164780038
202,2/29/2020,1233542514608689152
203,2/28/2020,1233180394251575297
204,2/27/2020,1232817637211635714
205,2/25/2020,1232093614349725697
206,2/24/2020,1231730974100197377
207,2/23/2020,1231368329509642242
208,2/22/2020,1231006451302309888
209,2/21/2020,1230644063977820166
210,2/20/2020,1230281423828979715
211,2/19/2020,1229919031878201344
212,2/18/2020,1229556393654595584
213,2/17/2020,1229194004178329601
214,2/16/2020,1228831620091850752
215,2/15/2020,1228469016559263749
216,2/14/2020,1228106584817111040
217,2/13/2020,1227745232311246849
218,2/12/2020,1227382825495691265
219,2/11/2020,1227020185535700992
220,2/10/2020,1226657547114905600
221,2/9/2020,1226294900989288453
222,2/8/2020,1225932786466480128
223,2/7/2020,1225570388547133441
224,2/6/2020,1225207743004446720
225,2/5/2020,1224845104713740288
226,2/4/2020,1224483473341198336
227,2/3/2020,1224120845557280768
228,2/2/2020,1223758208369602564
229,2/1/2020,1223395561912573952
230,1/1/2020,1212161809018437633
